,Bankrupt?,ROA,Net Interest Margin,Tax rate (A),Research and development expense rate,Cash flow rate,Interest-bearing debt interest rate,Net Value Per Share (A),Cash Flow Per Share,After-tax Net Profit Growth Rate,Total Asset Growth Rate,Net Value Growth Rate,Cash Reinvestment %,Quick Ratio,Debt ratio %,Borrowing dependency,Contingent liabilities/Net worth,Total Asset Turnover,Fixed Assets Turnover Frequency,Revenue per person,Operating profit per person,Working Capital to Total Assets,Average Total Assets,Cash/Total Assets,Cash/Current Liability,Total expense/Assets,Quick Asset Turnover Rate,Fixed Assets to Assets,Cash Flow to Total Assets,Cash Flow to Equity,Current Liability to Current Assets,Liability-Assets Flag,Total assets to GNP price,Equity to Liability
0,1,0.370594257,0.601457213,0.0,0.0,0.458143144,0.000725073,0.147949939,0.311664427,0.688979463,4980000000.0,0.000326977,0.363725271,0.001207755,0.207576261,0.390284354,0.006478502,0.086956522,0.000116501,0.034164182,0.392912869,0.672775292,0.166672959,0.004094406,0.000147336,0.064855708,6550000000.0,0.424205762,0.637555395,0.312904948,0.118250477,0,0.00921944,0.016468741
1,1,0.464290937,0.610235086,0.0,0.0,0.461867257,0.000647065,0.182251064,0.318136804,0.689692901,6110000000.0,0.00044304,0.376709139,0.004039367,0.171176346,0.37676002,0.005835039,0.064467766,719000000.0,0.006888651,0.391589969,0.751110917,0.127236002,0.014947727,0.00138391,0.02551586,7700000000.0,0.468828128,0.641099985,0.314163135,0.047775282,0,0.008323302,0.020794306
2,1,0.426071272,0.601450006,0.0,25500000.0,0.458520587,0.000790079,0.17791075,0.307101931,0.689462677,7280000000.0,0.000396425,0.36891323,0.00534756,0.207515796,0.37909292,0.006561982,0.014992504,2650000000.0,0.02899696,0.381967843,0.829501915,0.340200878,0.000990944,5340000000.0,0.021387428,0.001022676,0.276179222,0.64276455,0.314515426,0.025346489,0,0.040002853,0.016474114
3,1,0.399844001,0.583541129,0.0,0.0,0.465705443,0.000449045,0.154186507,0.321673622,0.689109536,4880000000.0,0.000382426,0.384076599,0.002896491,0.151464764,0.379742688,0.005365848,0.089955022,9150000000.0,0.015463478,0.378496642,0.72575418,0.161574532,0.018850625,0.001010646,0.02416107,6050000000.0,0.559143963,0.579039312,0.302382255,0.067249617,0,0.003252475,0.023982332
4,1,0.465022181,0.598783494,0.0,0.0,0.462746282,0.000686069,0.167502423,0.319162481,0.689696883,5510000000.0,0.000438948,0.379689654,0.003727447,0.106509055,0.375025443,0.006623525,0.175412294,0.000293521,0.058111423,0.394371452,0.751822452,0.260329881,0.014160974,0.000680464,0.026385246,5050000000.0,0.309554917,0.622374075,0.311567161,0.047725372,0,0.003877563,0.035490201
5,1,0.388680349,0.590171378,0.0,0.0,0.465861453,0.000716072,0.155577093,0.325387282,0.68910515,608000000.0,0.000351782,0.388025781,0.000854661,0.180427487,0.381448187,0.005749123,0.095952024,9300000000.0,0.021300471,0.377569481,0.686728646,0.080263715,0.002645226,0.000100856,0.040093622,2810000000.0,0.60319348,0.637469772,0.313268472,0.099521933,0,0.005277875,0.019534478
6,0,0.390922829,0.619949841,0.0,730000000.0,0.461020105,0.000805081,0.158821794,0.316686709,0.68858985,5720000000.0,0.000351757,0.375302709,0.002869042,0.216101823,0.384998982,0.008043897,0.100449775,0.000145248,0.011459542,0.393172927,0.729416462,0.25509317,0.022988598,0.001050312,0.092802307,9560000000.0,0.355853782,0.630419077,0.310296438,0.060765125,0,0.018371872,0.015663075
7,0,0.508360552,0.601738278,0.157607045,50900000.0,0.46702398,0.000630063,0.176983692,0.324114027,0.689535186,6630000000.0,0.00045105,0.384234939,0.007304548,0.108202074,0.374219105,0.006383445,0.218890555,0.000518201,0.028077494,0.396463219,0.797005214,0.361219101,0.014615913,0.000888122,0.025482153,6180000000.0,0.218473358,0.641553075,0.314363648,0.030201105,0,0.010004504,0.034888556
8,0,0.488519475,0.603612044,0.00587104,0.0,0.463142179,0.000737074,0.184189457,0.318773431,0.689924337,6890000000.0,0.000452722,0.377994486,0.011823024,0.058590561,0.370253398,0.005365848,0.154422789,0.000245862,0.016382944,0.391940481,0.813737523,0.378625212,0.145189218,0.013190215,0.029884061,9840000000.0,0.323861363,0.649869164,0.315376064,0.021710461,0,0.000824071,0.065826497
9,0,0.495685663,0.599208694,0.392448628,0.0,0.470575308,0.000672067,0.177447221,0.330161986,0.689338461,5550000000.0,0.000444912,0.3900842,0.007516653,0.121292741,0.37450876,0.005818587,0.347826087,0.000738342,0.033279967,0.396372764,0.825695871,0.394951276,0.008772791,0.000490883,0.035891062,3600000000.0,0.254953362,0.643428364,0.314645153,0.025494302,0,0.005797642,0.030800865
